model,unfrozen_layers,pooling,f1,mean_f1,std_f1
w11wo/javanese-gpt2-small,0,MLP,"[0.7752057980314986, 0.8337525819966523, 0.7828436725308692, 0.8158370211424477, 0.7919622762298142]",0.7999202699862563,0.021742645987185248
w11wo/javanese-gpt2-small,1,MLP,"[0.8183071557774614, 0.8288265082245446, 0.7594037392261798, 0.8171034036563459, 0.7634264781844383]",0.797413457013794,0.029701426933478492
w11wo/javanese-gpt2-small,2,MLP,"[0.8285870609586847, 0.8159944106733644, 0.8325293323273073, 0.8062204896574684, 0.7711209191955786]",0.8108904425624808,0.021958532703064245
w11wo/javanese-gpt2-small,3,MLP,"[0.8107959521914011, 0.8282172897701296, 0.8094401782410204, 0.8289119815006729, 0.7588195709779207]",0.807236994536229,0.025580246089760113
flax-community/indonesian-roberta-base,0,CLS,"[0.6764054230620852, 0.7133055956335975, 0.6609494098319216, 0.736179164797753, 0.6737341138171156]",0.6921147414284945,0.02809495953816956
flax-community/indonesian-roberta-base,0,MLP,"[0.7868756098141406, 0.7712578110514411, 0.7518694304156419, 0.7607901809240802, 0.788115901936171]",0.771781786828295,0.014228272541374857
flax-community/indonesian-roberta-base,1,CLS,"[0.8026278869981255, 0.7958150888041798, 0.7634391402500142, 0.8185651564964584, 0.7970817702897713]",0.7955058085677098,0.017962784053031703
flax-community/indonesian-roberta-base,1,MLP,"[0.8259132507635947, 0.821831869058256, 0.7764620112712722, 0.8071155315231014, 0.7860101262057962]",0.8034665577644041,0.019434125805251636
flax-community/indonesian-roberta-base,2,CLS,"[0.7807461250977455, 0.6922037583153673, 0.6862026311338681, 0.7630012078906213, 0.7575936960557011]",0.7359494836986606,0.038975491325617694
flax-community/indonesian-roberta-base,2,MLP,"[0.7535553722260906, 0.7741813555102033, 0.5693211001980043, 0.7557303287996587, 0.7711854556471177]",0.724794722476215,0.07816312888249748
flax-community/indonesian-roberta-base,3,CLS,"[0.5667213082762523, 0.5667213082762523, 0.5693211001980043, 0.5693211001980043, 0.5693211001980043]",0.5682811834293036,0.0012736327291404037
flax-community/indonesian-roberta-base,3,MLP,"[0.5667213082762523, 0.5667213082762523, 0.5693211001980043, 0.5693211001980043, 0.5693211001980043]",0.5682811834293036,0.0012736327291404037
flax-community/gpt2-small-indonesian,0,MLP,"[0.8564884007343501, 0.8331930501261321, 0.795188077908858, 0.8101749914990227, 0.8327317583801732]",0.8255552557297072,0.02109699300858401
flax-community/gpt2-small-indonesian,1,MLP,"[0.8593176804320314, 0.840678559961991, 0.838577744436396, 0.8548263887554374, 0.8760404216696244]",0.853888159051096,0.013638071860004953
flax-community/gpt2-small-indonesian,2,MLP,"[0.8545163572060125, 0.8916731975382446, 0.8123422211661216, 0.8539171235372589, 0.8530083162435597]",0.8530914431382394,0.0251068512650142
flax-community/gpt2-small-indonesian,3,MLP,"[0.8818749615992434, 0.8717144272514897, 0.8195851975636839, 0.8456684331844434, 0.8422390908900397]",0.8522164220977799,0.022212704840998906
